id,nombre,precio,calidad,aptitud,compatible
1,Memoria RAM Kingston Fury Beast 8GB 1x8GB 3200Mhz,699,12,58.25,11
2,Memoria RAM Teamgroup Elite Plus 8GB DDR4 2666Mhz,999,11,90.81818182,11
3,Memoria RAM Silicon Power XPower Zenith RGB 16GB 1x16GB 3200Mhz,1499,10,149.9,11
4,Memoria RAM Teamgroup T-Force Delta RGB 16GB 2X8GB 3600Mhz,1999,9,222.1111111,11
5,Memoria RAM Teamgroup T-Force Delta TUF Yellow 16GB 2X8GB,2499,8,312.375,11
6,Memoria RAM Patriot Viper Gaming Blackout 16GB 2X8GB 4133Mhz,2699,7,385.5714286,11
7,Memoria RAM Teamgroup Night Hawk RGB 16GB 2X8GB 3200MHZ,2799,6,466.5,11
8,Memoria RAM G.Skill Ripjaws V 32GB 2X16GB DDR4 3600MHZ Negra,2899,5,579.8,11
9,Memoria RAM Corsair Vengeance LPX 32GB 2X16GB 3000MHZ,3499,4,874.75,11
10,Memoria RAM G. Skill Trident Z Royal Elite Plata 16GB 2X8GB DDR4,5399,3,1799.666667,11
11,Memoria RAM G. Skill Trident Z Royal Elite Oro 16GB 2X8GB DDR4,5499,2,2749.5,11
12,Memoria RAM Corsair Dominator Platinum RGB Blanca 16GB 2X8GB,5699,1,5699,11
13,Memoria RAM Adata 16GB DDR5 1x16GB 4800Mhz - AD5U480016G,2799,3,933,12
14,Memoria RAM Adata XPG Lancer RGB 16GB DDR5 1x16GB 5200Mhz,3099,2,1549.5,12
15,Memoria RAM Gigabyte Aorus Memory DDR5 32GB 2x16GB DDR5,7099,1,7099,12
